top - 17:24:54 up  5:22,  1 user,  load average: 0.54, 0.66, 0.52
Tasks: 427 total,   1 running, 426 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.9 us,  2.5 sy,  0.0 ni, 91.2 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15767.8 total,   1922.7 free,   6280.3 used,   7564.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   6892.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   5492 vandana+  20   0 1129.9g 150548 103632 S   0.0   0.9   0:01.70 chrome
   5515 vandana+  20   0 1129.9g 141952 101412 S   0.0   0.9   0:01.60 chrome
   5531 vandana+  20   0 1129.9g 128404  95580 S   0.0   0.8   0:02.82 chrome
   6166 vandana+  20   0 1129.9g 257400 110896 S   0.0   1.6   0:14.12 chrome
   6460 vandana+  20   0 1129.9g 259900 111084 S   0.0   1.6   0:14.03 chrome
   6474 vandana+  20   0 1129.9g 120668  91152 S   0.0   0.7   0:01.51 chrome
   6487 vandana+  20   0 1129.9g 262576 113404 S   0.0   1.6   0:14.41 chrome
   6528 vandana+  20   0 1131.0g 236932 132516 S   0.0   1.5   0:17.62 chrome
   6582 vandana+  20   0 1129.9g 149200 101116 S   0.0   0.9   0:03.77 chrome
   6604 vandana+  20   0  429012  35136  24564 S   0.0   0.2   0:00.43 update-+
  10962 vandana+  20   0 1129.9g 198612 110168 S   0.0   1.2   0:03.36 chrome
  11232 vandana+  20   0  843316  57816  39484 S   0.0   0.4   0:09.00 gnome-t+
  11240 vandana+  20   0   23380   9520   3948 S   0.0   0.1   0:00.16 bash
  11550 root      20   0       0      0      0 I   0.0   0.0   0:00.35 kworker+
  12215 vandana+  20   0  170252   5144   4724 S   0.0   0.0   0:00.01 oosplash
  12267 vandana+  20   0 1544064 293364 150800 S   0.0   1.8   0:04.68 soffice+
  12805 vandana+  20   0 1487232  85828  51056 S   0.0   0.5   0:03.80 nautilus
  12822 vandana+  20   0 3585112 375204 184508 S   0.0   2.3   1:44.62 firefox
  12894 vandana+  20   0  205812  44612  36864 S   0.0   0.3   0:00.08 Socket +
  12930 vandana+  20   0 2442160 127392  99476 S   0.0   0.8   0:02.85 Privile+
  12976 vandana+  20   0 2441460 100272  81140 S   0.0   0.6   0:00.74 WebExte+
  13055 vandana+  20   0 2558980 163984  96764 S   0.0   1.0   0:05.44 Isolate+
  13147 vandana+  20   0 2772944 272052  97836 S   0.0   1.7   0:16.42 Isolate+
  13184 vandana+  20   0 2514084 145912  93800 S   0.0   0.9   0:11.22 Isolate+
  13214 root      20   0       0      0      0 I   0.0   0.0   0:01.44 kworker+
  13215 vandana+  20   0 2405592  76016  64924 S   0.0   0.5   0:00.14 Web Con+
  13240 vandana+  20   0 2405592  75712  64600 S   0.0   0.5   0:00.22 Web Con+
  13297 vandana+  20   0 2405592  76300  65196 S   0.0   0.5   0:00.14 Web Con+
  13377 root      20   0       0      0      0 I   0.0   0.0   0:01.19 kworker+
  14220 root      20   0       0      0      0 I   0.0   0.0   0:00.77 kworker+
  17497 root      20   0       0      0      0 I   0.0   0.0   0:00.70 kworker+
